COX,  JOHN R.#AK#0#REP#2010#0.503333091
MARKOWITZ,  WARREN#NV#4#IND#2018#0.031300986
MILLER,  JEFF#NV#4#REP#2018#0.44545595
VILELA,  AMY#NV#4#DEM#2018#0.484869494
ANZALONE,  JOHN ANTHONY DR.#NV#4#DEM#2018#0.484869494
HARDY,  CRESENT#NV#4#REP#2018#0.44545595
GIBBS,  DAVID#NV#4#REP#2018#0.44545595
WEGNER,  KENNETH A#NV#4#REP#2018#0.44545595
STEPHENS,  ALLISON A#NV#4#DEM#2018#0.484869494
ZELLER,  SIDNEY#NV#4#DEM#2018#0.484869494
SMITH,  RODNEY#NV#4#NNE#2018#0
MCGONIGLE,  DEAN#NV#4#NNE#2018#0
MONROE,  MIKE#NV#4#REP#2018#0.44545595
DIMASI,  ELAINE DR. PHD#NY#1#DEM#2018#0.410499389
PECHEFSKY,  DAVID#NY#1#DEM#2018#0.410499389
VILORIA-FISHER,  VIVIAN M#NY#1#DEM#2018#0.410499389
GERSHON,  PERRY#NY#1#DEM#2018#0.410499389
LATZMAN,  PATRICIA#NY#1#WF#2018#0
MILLER,  BRUCE GORDON MR.#NY#1#DEM#2018#0.410499389
BROWNING,  KATE M.#NY#1#DEM#2018#0.410499389
ZELDIN,  LEE M#NY#1#REP#2018#0.589500611
HENRY,  BRENDON T#NY#1#DEM#2018#0.410499389
DENNING,  RICHARD FRANCIS#NY#1#REP#2018#0.589500611
KING,  PETE#NY#2#REP#2018#0.623879546
SAX,  MIKE#NY#2#DEM#2018#0.376120454
THOMAS,  KEVIN#NY#2#DEM#2018#0.376120454
GRECHEN SHIRLEY,  LIUBOV LIUBA#NY#2#DEM#2018#0.376120454
RENNHACK,  JOHN#NY#2#DEM#2018#0.376120454
GREGORY,  DUWAYNE#NY#2#DEM#2018#0.376120454
GOMES,  TIM#NY#2#DEM#2018#0.376120454
MICHAILIDIS,  CONSTANTINOS#NY#3#NNE#2018#0
SAUBERMAN,  JOSHUA A#NY#3#IND#2018#0
SLUESTKY,  VICTOR#NY#3#GRE#2018#0
DEBONO,  DAN#NY#3#REP#2018#0.476047302
SUOZZI,  THOMAS#NY#3#DEM#2018#0.523952698
KAIMAN,  JON#NY#3#DEM#2018#0.523952698
RICE,  KATHLEEN#NY#4#DEM#2018#0.593936784
BENNO,  AMEER#NY#4#REP#2018#0.406063216
MANNIX,  BRIAN - NONE -#NY#4#DEM#2018#0.593936784
MARTHONE,  JOSEPH R.#NY#5#DEM#2018#0.854746192
CHOUDHURY,  MIZANUR#NY#5#DEM#2018#0.854746192
MEEKS,  GREGORY W.#NY#5#DEM#2018#0.854746192
ACHILLE,  CARL H.#NY#5#DEM#2018#0.854746192
MENG,  GRACE#NY#6#DEM#2018#0.718973042
HILLGARDNER,  THOMAS J#NY#6#GRE#2018#0
VELAZQUEZ,  NYDIA M.#NY#7#DEM#2018#0.907234616
LIEBERMAN,  JOSEPH#NY#7#CRV#2018#0
KURZON,  JEFFREY M#NY#7#DEM#2018#0.907234616
JEFFRIES,  HAKEEM#NY#8#DEM#2018#0.932460379
JOHNSON,  ERNEST#NY#8#CRV#2018#0
WHITE,  JESSICA L.#NY#8#REF#2018#0
ANABILAH-AZUMAH,  JOEL#NY#9#UNK#2018#0
JOYNER,  JOHN JOSEPH MR JR#NY#9#REP#2018#0
GAYOT,  LUTCHI#NY#9#REP#2018#0
CLARKE,  YVETTE#NY#9#DEM#2018#0.923382653
BUNKEDDEKO,  ADEM#NY#9#DEM#2018#0.923382653
NADLER,  JERROLD L.#NY#10#DEM#2018#0.774675183
LEVIN,  NAOMI#NY#10#REP#2018#0.225324817
LYNCH,  HOLLY#NY#10#DEM#2018#0.774675183
EMIG,  ZACH#NY#11#DEM#2018#0.361351423
DECILLIS,  ALFRED MICHAEL#NY#11#DEM#2018#0.361351423
MOHAN,  RADHAKRISHNA#NY#11#DEM#2018#0.361351423
AUBIN,  MARK-CHRISTIAN ANTHONY#NY#11#REP#2018#0.621952518
SPERLING,  PAUL#NY#11#DEM#2018#0.361351423
BARDEL,  HENRY J.#NY#11#GRE#2018#0.01669606
DONOVAN,  DAN#NY#11#REP#2018#0.621952518
ROSE,  MAX#NY#11#DEM#2018#0.361351423
MELSON,  BOYD#NY#11#DEM#2018#0.361351423
VAID,  OMAR M#NY#11#DEM#2018#0.361351423
DEVITO,  MICHAEL JR#NY#11#DEM#2018#0.361351423
GRIMM,  MICHAEL#NY#11#REP#2018#0.621952518
HICKS,  SANDER#NY#12#DEM#2018#0.829711599
MALONEY,  CAROLYN B.#NY#12#DEM#2018#0.829711599
PATEL,  SURAJ#NY#12#DEM#2018#0.829711599
HUTCHINS,  SCOTT#NY#12#GRE#2018#0
RABIN,  ELIOT MR.#NY#12#REP#2018#0.170288401
THOMAS,  JEFFERSON MR.#NY#13#DEM#2018#0.887876993
ESPAILLAT,  ADRIANO#NY#13#DEM#2018#0.887876993
BUTLER,  JINEEA THE NEW AM#NY#13#REP#2018#0.068710465
CROWLEY,  JOSEPH#NY#14#DEM#2018#0.826114708
PERRI,  ELIZABETH#NY#14#CRV#2018#0
DILLON,  JAMES J.#NY#14#REF#2018#0
PAPPAS,  ANTHONY#NY#14#REP#2018#0.173885292
OCASIO-CORTEZ,  ALEXANDRIA#NY#14#DEM#2018#0.826114708
SERRANO,  JOSE E.#NY#15#DEM#2018#0.952368259
GONZALEZ,  JASON D.#NY#15#REP#2018#0.035579419
BRISCOE,  JOYCE N.#NY#16#DEM#2018#0.946735066
COLE,  DARREN#NY#16#DEM#2018#0.946735066
LAWRENCE,  DERICKSON K#NY#16#DEM#2018#0.946735066
LEWIS,  JONATHAN#NY#16#DEM#2018#0.946735066
ENGEL,  ELIOT L.#NY#16#DEM#2018#0.946735066
CIARDULLO,  JOSEPH JOHN#NY#17#REF#2018#0
LOWEY,  NITA M#NY#17#DEM#2018#1
MALONEY,  SEAN PATRICK#NY#18#DEM#2018#0.552012236
BUCHANAN,  JARRED ROBERT MR.#NY#18#REP#2018#0.447987764
BROWN,  SAKIMA#NY#18#REP#2018#0.447987764
SMITH,  SCOTT A#NY#18#NNE#2018#0
O'DONNELL,  JAMES D#NY#18#REP#2018#0.447987764
BRISEE,  STEVEN MITCHELL#NY#19#DEM#2018#0.452638464
FASO,  JOHN J. MR.#NY#19#REP#2018#0.547361536
CLEGG,  DAVID J#NY#19#DEM#2018#0.452638464
SULLIVAN,  SUE#NY#19#DEM#2018#0.452638464
GREENFIELD,  STEVEN#NY#19#GRE#2018#0
COHEN,  BOB#NY#19#WF#2018#0
PARKER,  LUISA MS.#NY#19#IND#2018#0
FLYNN,  BRIAN#NY#19#DEM#2018#0.452638464
RHODES,  GARETH THOMAS#NY#19#DEM#2018#0.452638464
COLLIER,  ERIN#NY#19#DEM#2018#0.452638464
NEAL,  DIANE#NY#19#NPA#2018#0
DELGADO,  ANTONIO#NY#19#DEM#2018#0.452638464
RYAN,  PATRICK#NY#19#DEM#2018#0.452638464
LAMAGNA,  DAL#NY#19#IND#2018#0
BEALS,  JEFFREY#NY#19#DEM#2018#0.452638464
TONKO,  PAUL DAVID#NY#20#DEM#2018#0.676133448
VITOLLO,  FRANCIS JOSEPH#NY#20#REP#2018#0.323866552
KOPSER,  JOSEPH#NY#21#DEM#2018#0.292604424
BOYAJIAN,  DON#NY#21#DEM#2018#0.292604424
FINLEY,  RUSSELL J#NY#21#REP#2018#0.661497001
SCHNIBBE,  STEVEN C.#NY#21#REP#2018#0.661497001
STEFANIK,  ELISE M.#NY#21#REP#2018#0.661497001
KIM,  RONALD JOSEPH MR.#NY#21#DEM#2018#0.292604424
NELSON,  PATRICK F#NY#21#DEM#2018#0.292604424
COBB,  TEDRA LYNNE MS.#NY#21#DEM#2018#0.292604424
MASTRIANNI,  DAVID#NY#21#DEM#2018#0.292604424
WILSON,  KATIE#NY#21#DEM#2018#0.292604424
MARTZ,  EMILY#NY#21#DEM#2018#0.292604424
KAHN,  LYNN SANDRA#NY#21#GRE#2018#0.045898575
RATIGAN,  DYLAN#NY#21#DEM#2018#0.292604424
BOONE,  TANYA#NY#21#DEM#2018#0.292604424
IDLEMAN,  SARA#NY#21#DEM#2018#0.292604424
TENNEY,  CLAUDIA#NY#22#REP#2018#0.595560916
MADDEN,  PATRICK#NY#22#DEM#2018#0.404439084
PHILLIPS,  HEATH#NY#22#DEM#2018#0.404439084
BRINDISI,  ANTHONY#NY#22#DEM#2018#0.404439084
GALLANT,  RICK#NY#23#DEM#2018#0.41856204
CLASBY,  JAMES BRIAN LONE CROW#NY#23#IND#2018#0
WARRINGTON,  KARL MR#NY#23#DEM#2018#0.41856204
REED,  THOMAS W#NY#23#REP#2018#0.58143796
WHALEN,  CHARLES#NY#23#DEM#2018#0.41856204
MITRANO,  TRACY#NY#23#DEM#2018#0.41856204
HERTZLER,  JOHN G#NY#23#IND#2018#0
GOLDEN,  IAN#NY#23#DEM#2018#0.41856204
DELLA PIA,  MAX HAROLD#NY#23#DEM#2018#0.41856204
ANDREI,  LINDA#NY#23#DEM#2018#0.41856204
SUNDQUIST,  EDWARD A.#NY#23#DEM#2018#0.41856204
LATESSA,  PHILIP JOSEPH#NY#24#DEM#2018#0.389780291
KATKO,  JOHN M#NY#24#REP#2018#0.610219709
PEREZ WILLIAMS,  JUANITA#NY#24#DEM#2018#0.389780291
SONALLAH,  ZACH 1994#NY#24#DEM#2018#0.389780291
BALTER,  DANA#NY#24#DEM#2018#0.389780291
BASS,  WILLIAM HENRY MR. JR#NY#24#NPA#2018#0
MESSENGER,  ANNE#NY#24#DEM#2018#0.389780291
COMEGYS,  CHRISTOPHER SCOTT#NY#24#DEM#2018#0.389780291
MCFADDEN,  ADAM#NY#25#DEM#2018#0.557521978
MORELLE,  JOSEPH D#NY#25#DEM#2018#0.557521978
WILT,  ROBIN#NY#25#DEM#2018#0.557521978
MAXWELL,  JAMES T. DR#NY#25#REP#2018#0.442478022
BARNHART,  RACHEL#NY#25#DEM#2018#0.557521978
ZENO,  RENEE MARIE MISS#NY#26#REP#2018#0.256289248
HIGGINS,  BRIAN#NY#26#DEM#2018#0.743710752
DIPIZIO,  ROSANNE#NY#26#REP#2018#0.256289248
STANKEVICH,  NICHOLAS RICHARD MR.#NY#27#DEM#2018#0.323481084
CASEY,  THOMAS P#NY#27#DEM#2018#0.323481084
COLE,  ERIN#NY#27#DEM#2018#0.323481084
BUNNY,  SEAN#NY#27#DEM#2018#0.323481084
SEAMANS,  JOAN ELIZABETH#NY#27#DEM#2018#0.323481084
O'DONNELL,  JAMES DESMOND#NY#27#REP#2018#0.676518916
BANKS,  JAMES PAUL MR.#NY#27#REP#2018#0.676518916
MCMURRAY,  NATHAN DOUGLAS#NY#27#DEM#2018#0.323481084
PIEGZA,  LAWRENCE MARK#NY#27#NPA#2018#0
SETA,  ANTHONY J.#OH#1#GRE#2018#0
RONAN,  SAMUEL#OH#1#REP#2018#0.595779569
BARR,  ROBERT#OH#1#DEM#2018#0.404220431
PUREVAL,  AFTAB#OH#1#DEM#2018#0.404220431
CHABOT,  STEVE#OH#1#REP#2018#0.595779569
WEAVER,  LAURA ANN#OH#1#DEM#2018#0.404220431
CONDIT,  JR.#OH#2#GRE#2018#0
WENSTRUP,  BRAD#OH#2#REP#2018#0.666199354
SMITH,  WILLIAM ROBERT#OH#2#DEM#2018#0.333800646
MYERS,  STEVE#OH#2#IND#2018#0
EDWARDS,  HAROLD JAMES III#OH#2#DEM#2018#0.333800646
SCHILLER,  JILL#OH#2#DEM#2018#0.333800646
EVERHARD,  JANET#OH#2#DEM#2018#0.333800646
BURGESS,  JAMES E#OH#3#REP#2018#0.317174395
BEATTY,  JOYCE#OH#3#DEM#2018#0.682825605
HAJI,  ABDULKADIR M#OH#3#REP#2018#0.317174395
JORDAN,  JAMES D.#OH#4#REP#2018#0.681016414
GARRETT,  JANET PATRICIA MRS.#OH#4#DEM#2018#0.318983586
DENNERLL,  NORBERT G.#OH#4#DEM#2018#0.318983586
SLATZER-ROSE,  CODY JAMES#OH#4#DEM#2018#0.318983586
MILLER,  JOSEPH#OH#4#REP#2018#0.681016414
MACKEY,  ANDREW R.#OH#4#DEM#2018#0.318983586
SELLERS,  LEAH MS.#OH#4#DEM#2018#0.318983586
NEU,  JAMES#OH#5#DEM#2018#0.290004466
GALBRAITH,  JOHN MICHAEL#OH#5#DEM#2018#0.290004466
WOLFRUM,  TODD#OH#5#REP#2018#0.709995534
KREIENKAMP,  ROBERT#OH#5#REP#2018#0.709995534
LATTA,  ROBERT EDWARD#OH#5#REP#2018#0.709995534
OLIVITO,  RICHARD A#OH#6#DEM#2018#0.293595394
LANGE,  WERNER#OH#6#DEM#2018#0.293595394
JOHNSON,  BILL#OH#6#REP#2018#0.706404606
BLAZEK,  ROBERT J#OH#6#REP#2018#0.706404606
ROBERTS,  SHAWNA#OH#6#DEM#2018#0.293595394
GIBBS,  ROBERT#OH#7#REP#2018#0.641147915
PIKUS,  PATRICK#OH#7#DEM#2018#0.289296919
ROBERTSON,  TERRY#OH#7#REP#2018#0.641147915
HARBAUGH,  KENNETH#OH#7#DEM#2018#0.289296919
QUINN,  PATRICK J#OH#7#REP#2018#0.641147915
JONES,  THEODORE#OH#8#DEM#2018#0.268164344
EBBEN,  BILL#OH#8#DEM#2018#0.268164344
SHAW,  STEPHEN D#OH#8#DEM#2018#0.268164344
GRUBER,  JASON BRADLEY#OH#8#REP#2018#0.689806593
MEIER,  MORT W#OH#8#DEM#2018#0.268164344
ENOCH,  VANESSA L. DR.#OH#8#DEM#2018#0.268164344
GUYETTE,  MATTHEW JOHN#OH#8#DEM#2018#0.268164344
DAVIDSON,  WARREN#OH#8#REP#2018#0.689806593
LEVINDOFSKE,  MCKENZIE#OH#9#NNE#2018#0
KRAUS,  STEVEN WAYNE#OH#9#REP#2018#0.314731418
KAPTUR,  MARCY HON. M.C.#OH#9#DEM#2018#0.685268582
FRANKLIN,  W. BENJAMIN#OH#9#REP#2018#0.314731418
GARCIA,  JOSHUA M#OH#9#DEM#2018#0.685268582
KRAUS,  STEVEN WAYNE MR.#OH#9#REP#2018#0.314731418
COLTON,  KEITH C#OH#9#REP#2018#0.314731418
TURNER,  MICHAEL R#OH#10#REP#2018#0.64364213
LITTLE,  MICHAEL JAMES HARLESS#OH#10#NNE#2018#0
KLEPINGER,  ROBERT P#OH#10#DEM#2018#0.324328213
MILISITS,  MICHAEL JOSEPH#OH#10#DEM#2018#0.324328213
MITCHEL,  JOHN R#OH#10#REP#2018#0.64364213
ANDERSON,  JOHN DAVID#OH#10#REP#2018#0.64364213
GASPER,  THERESA#OH#10#DEM#2018#0.324328213
BELL,  JAMES JEROME MR.#OH#11#IND#2018#0
ROSS,  FELICIA WASHINGTON#OH#11#DEM#2018#0.800700873
BUTTS,  REV PAMELA M PINKNEY#OH#11#DEM#2018#0.800700873
MURRAY,  LAVITTA MS#OH#11#DEM#2018#0.800700873
GOLDSTEIN,  BEVERLY A.#OH#11#REP#2018#0.199299127
FUDGE,  MARCIA L#OH#11#DEM#2018#0.800700873
DUNHAM,  GREGORY PAUL#OH#11#REP#2018#0.199299127
LETT,  CRYSTAL LYNN#OH#12#DEM#2018#0.298834476
RUSSELL,  JOHN#OH#12#DEM#2018#0.298834476
GRISEZ,  BRANDON#OH#12#REP#2018#0.666087863
VELEY,  JONATHAN ALAN#OH#12#IND#2018#0
SCOTT,  ZACH#OH#12#DEM#2018#0.298834476
WILSON,  DOUGLAS A#OH#12#DEM#2018#0.298834476
PETERS,  JOHN#OH#12#DEM#2018#0.298834476
SHOEMAKER,  MYRL#OH#12#REP#2018#0.666087863
BACON,  KEVIN#OH#12#REP#2018#0.666087863
CHIERO,  GARY#OH#12#REP#2018#0.666087863
MANLEY,  PATRICK WILLIAM MR.#OH#12#REP#2018#0.666087863
KANE,  TIM#OH#12#REP#2018#0.666087863
ADAMS,  JOHN#OH#12#REP#2018#0.666087863
COHEN,  LAWRENCE#OH#12#REP#2018#0.666087863
BALDERSON,  TROY#OH#12#REP#2018#0.666087863
O'BRIEN CAROL, #OH#12#REP#2018#0.666087863
O'CONNOR,  DANIEL JAY#OH#12#DEM#2018#0.298834476
MANCHIK,  JOE#OH#12#GRE#2018#0.035077661
LENEGHAN,  MELANIE ANN MRS.#OH#12#REP#2018#0.666087863
HALVERSTADT,  JONATHAN PHILIP MR.#OH#12#REP#2018#0.666087863
PATTON,  JACKIE#OH#12#DEM#2018#0.298834476
ALBERTSON,  ED#OH#12#DEM#2018#0.298834476
DEPIZZO,  CHRIS#OH#13#REP#2018#0.323573029
RYAN,  TIMOTHY#OH#13#DEM#2018#0.676426971
LUCHANSKY,  JOHN#OH#13#DEM#2018#0.676426971
CROW,  ROBERT#OH#13#DEM#2018#0.676426971
LYRAS,  LOUIS GEORGE#OH#13#NON#2018#0
RADER,  ELIZABETH ANNE#OH#14#DEM#2018#0.372764602
CARP,  EVAN#OH#14#REP#2018#0.627235398
DIEMAND,  LARRY L#OH#14#DEM#2018#0.372764602
HICKEY,  ADAM#OH#14#GRE#2018#0
RAJIAH,  JAMES#OH#14#IND#2018#0
LYNCH,  MATT#OH#14#REP#2018#0.627235398
JOYCE,  DAVID P#OH#14#REP#2018#0.627235398
MILLER,  JOHNATHAN WAYNE MR. JR#OH#15#LIB#2018#0
STIVERS,  STEVE MR.#OH#15#REP#2018#0.662216885
NEAL,  RICK#OH#15#DEM#2018#0.337783115
HUPP,  RYAN#OH#15#DEM#2018#0.337783115
JARVIS,  ROB#OH#15#DEM#2018#0.337783115
HARTMAN,  DARRELL LYNN#OH#16#REP#2018#0.653780649
GONZALEZ,  ANTHONY E#OH#16#REP#2018#0.653780649
PALMER,  SUSAN MORAN#OH#16#DEM#2018#0.346219351
GRUSENMEYER,  MICHAEL JOSEPH DR#OH#16#REP#2018#0.653780649
DENT,  MARK#OH#16#DEM#2018#0.346219351
HAGAN,  CHRISTINA#OH#16#REP#2018#0.653780649
WILSON,  JOHN#OH#16#DEM#2018#0.346219351
SERYAK,  KIT#OH#16#REP#2018#0.653780649
PATTON,  THOMAS F.#OH#16#REP#2018#0.653780649
MULLOY,  TJ#OH#16#DEM#2018#0.346219351
GOODRICH,  GRANT G.#OH#16#DEM#2018#0.346219351
GODFREY,  AARON PAUL#OH#16#DEM#2018#0.346219351
HERN,  KEVIN R#OK#1#REP#2018#1
DOUGLAS,  AMANDA#OK#1#DEM#2018#0
COLEMAN,  ANDY#OK#1#REP#2018#1
HARRIS,  TIM#OK#1#REP#2018#1
DAHM,  NATHAN#OK#1#REP#2018#1
FIELDS,  GWENDOLYN#OK#1#DEM#2018#0
HULLUM,  DAVID#OK#1#DEM#2018#0
KEETER,  MARK A#OK#1#DEM#2018#0
PENDLETON,  SCOTT MR.#OK#1#REP#2018#1
GILPIN,  TIM#OK#1#DEM#2018#0
STOCKSTILL,  DANNY#OK#1#REP#2018#1
MULLIN,  MARKWAYNE MR.#OK#2#REP#2018#0.706092643
NICHOLS,  JASON#OK#2#DEM#2018#0.232023892
MCINTOSH,  ELIJAH#OK#2#DEM#2018#0.232023892
JACKSON,  JARRIN DALE#OK#2#REP#2018#0.706092643
PADGETT,  DONALD CLAYTON#OK#2#DEM#2018#0.232023892
CASTALDO,  RICHARD MICHAEL#OK#2#LIB#2018#0
MCCARTHY,  JOHN#OK#2#REP#2018#0.706092643
JENNER,  DOROTHEA VIRGINIA 'BLUE JEANS'#OK#2#DEM#2018#0.232023892
FOREMAN,  JOHN#OK#2#IND#2018#0.061883465
POST,  DYNDA ROSE#OK#2#DEM#2018#0.232023892
JACKSON,  BRIAN KELLY#OK#2#REP#2018#0.706092643
THIBODEAUX,  MURRAY MARK#OK#3#DEM#2018#0.2170564
ROBBINS,  FRANKIE LEE#OK#3#DEM#2018#0.2170564
LUCAS,  FRANK D.#OK#3#REP#2018#0.7829436
COLE,  TOM#OK#4#REP#2018#0.696356745
MCKENNA,  JOHN W#OK#4#DEM#2018#0.260798306
VARNER,  MALLORY#OK#4#DEM#2018#0.260798306
PETERS,  RUBY#OK#4#IND#2018#0
BRANNON,  MARY#OK#4#DEM#2018#0.260798306
KLUTTS,  ROXANN M.#OK#4#DEM#2018#0.260798306
GIPSON,  FRED ALLEN#OK#4#DEM#2018#0.260798306
TAYLOR,  JAMES#OK#4#REP#2018#0.696356745
PORTER,  EDDIE RAY#OK#5#DEM#2018#0.368006338
HORN,  KENDRA#OK#5#DEM#2018#0.368006338
GUILD,  THOMAS EUGENE#OK#5#DEM#2018#0.368006338
BRITT,  ELYSABETH GREGORY#OK#5#DEM#2018#0.368006338
KELLEY-LEONARD,  LEONA#OK#5#DEM#2018#0.368006338
MEADE,  TYSON TODD#OK#5#DEM#2018#0.368006338
DUNSON,  GREGORY#OK#5#REP#2018#0.571026843
BLACK,  GWENDOLYN M#OK#5#DEM#2018#0.368006338
EDWARDS,  DEJUAN#OK#5#REP#2018#0.571026843
RUSSELL,  STEVEN DANE#OK#5#REP#2018#0.571026843
CHENOWETH,  HEATHER NICOLE MS.#OK#68#IND#2018#0
BONAMICI,  SUZANNE MS.#OR#1#DEM#2018#0.596094701
HOFER,  RICHARD WILLIAM#OR#1#NPA#2018#0
GRIFFITH,  GEORGE#OR#1#REP#2018#0.372562784
BARAJAS,  RICKY#OR#1#DEM#2018#0.596094701
STANSFIELD,  MICHAEL E#OR#1#DEM#2018#0.596094701
MILLER,  PRESTON L#OR#1#REP#2018#0.372562784
VERBEEK,  JOHN#OR#1#REP#2018#0.372562784
MCLEOD-SKINNER,  JAMIE#OR#2#DEM#2018#0.278989751
CRARY,  JAMES 'JIM'#OR#2#DEM#2018#0.278989751
WORDHOUSE,  ROSS#OR#2#DEM#2018#0.278989751
MASON,  RAZ#OR#2#DEM#2018#0.278989751
NEAHRING,  JENNIFER#OR#2#DEM#2018#0.278989751
WALDEN,  GREGORY P. MR.#OR#2#REP#2018#0.721010249
WHITE,  TIMOTHY#OR#2#DEM#2018#0.278989751
BURNETTE,  ERIC#OR#2#DEM#2018#0.278989751
ROMERO,  PAUL J JR#OR#2#REP#2018#0.721010249
BYRNE,  MICHAEL#OR#2#DEM#2018#0.278989751
POLLOCK,  RANDY#OR#2#REP#2018#0.721010249
ROBERTS,  MARK#OR#2#IND#2018#0
BLUMENAUER,  EARL#OR#3#DEM#2018#0.72571223
HAFNER,  ERIC#OR#3#DEM#2018#0.72571223
BARNETT,  CHARLES RAND#OR#3#DEM#2018#0.72571223
HARRISON,  THOMAS S IV#OR#3#REP#2018#0
MARSH,  MICHAEL PAUL#OR#3#OTH#2018#0
WALKER,  DAVID#OR#3#IND#2018#0
LAVINE,  BEN#OR#3#DEM#2018#0.72571223
KOLLER,  MARC W#OR#3#IND#2018#0
DEFAZIO,  PETER A#OR#4#DEM#2018#0.555165966
PERKINS,  JO RAE#OR#4#REP#2018#0.398264545
BOICE,  COURT#OR#4#REP#2018#0.398264545
ARCANGEL,  DANIEL R#OR#4#DEM#2018#0.555165966
ROBINSON,  ART DR.#OR#4#REP#2018#0.398264545
BEILSTEIN,  MICHAEL ALLAN#OR#4#OTH#2018#0
POLEN,  MICHAEL#OR#4#REP#2018#0.398264545
STREK,  STEFAN G#OR#4#REP#2018#0.398264545
SCHRADER,  KURT#OR#5#DEM#2018#0.536029228
NATIONS,  JOEY#OR#5#REP#2018#0.432173472
CALLAHAN,  MARK ALLEN#OR#5#REP#2018#0.432173472
SOUZA,  DANIEL K#OR#5#LIB#2018#0
SANDNESS,  MARVIN J#OR#5#OTH#2018#0
WRIGHT,  PETER#OR#5#DEM#2018#0.536029228
REYNOLDS,  ROBERT L#OR#5#REP#2018#0.432173472
BROCK,  RUEBEN#PA#0#DEM#2018#0
FITZPATRICK,  BRIAN#PA#1#REP#2018#0.178010905
WALLACE,  HENRY SCOTT#PA#1#DEM#2018#0.821989095
MALIK,  DEAN H MR#PA#1#REP#2018#0.178010905
AHMAD,  NILOFER NINA#PA#1#DEM#2018#0.821989095
REDDICK,  RACHEL#PA#1#DEM#2018#0.821989095
BACHER,  STEVE#PA#1#DEM#2018#0.821989095
MIHALEK,  VALERIE L#PA#1#REP#2018#0.178010905
LAWRENCE,  MICHELE#PA#2#DEM#2018#0.901616277
GREEN,  BILL#PA#2#DEM#2018#0.901616277
BOYLE,  BRENDAN F#PA#2#DEM#2018#0.901616277
TORRES,  DAVID#PA#2#REP#2018#0.098383723
SKIBO,  BRIAN#PA#3#DEM#2018#0
EVANS,  DWIGHT#PA#3#DEM#2018#0
JOHNSON,  KEVIN RAE MILES#PA#3#DEM#2018#0
SINGLETARY,  WILLIE FLOYD#PA#3#DEM#2018#0
LEIB,  BRYAN#PA#3#REP#2018#1
DEAN,  MADELEINE#PA#4#DEM#2018#0.338968682
GOODMAN,  SHIRA MS.#PA#4#DEM#2018#0.338968682
DAVID,  DAN#PA#4#REP#2018#0.661031318
HOEFFEL,  JOSEPH#PA#4#DEM#2018#0.338968682
LUDMIR,  DANIEL#PA#4#DEM#2018#0.338968682
CORBIN-JOHNSON,  SHAVONNIA#PA#4#DEM#2018#0.338968682
DALEY,  MARY JO#PA#4#DEM#2018#0.338968682
CHAUNCEY,  SHELLY WILSON#PA#5#DEM#2018#0.327461425
LUNKENHEIMER,  ASHLEY#PA#5#DEM#2018#0.327461425
SCANLON,  MARY GAY#PA#5#DEM#2018#0.327461425
BILLIE,  JOSEPH MICHAEL#PA#5#REP#2018#0.672538575
BOYLE,  DANIEL#PA#5#DEM#2018#0.327461425
LI,  LINDY#PA#5#DEM#2018#0.327461425
ARATA,  LARRY V MR. III#PA#5#DEM#2018#0.327461425
EBLE,  JULIA ELLEN 6105589771#PA#5#DEM#2018#0.327461425
BALCHUNIS,  MARY ELLEN#PA#5#DEM#2018#0.327461425
LAZER,  RICH#PA#5#DEM#2018#0.327461425
SHEEHAN,  MOLLY#PA#5#DEM#2018#0.327461425
WERTIME,  DAVID#PA#5#DEM#2018#0.327461425
KIM,  PEARL#PA#5#REP#2018#0.672538575
BADEY,  GEORGE J. III#PA#5#DEM#2018#0.327461425
MUROFF,  DANIEL#PA#5#DEM#2018#0.327461425
TAYLOR,  KERITH STRANO#PA#5#DEM#2018#0.327461425
DAVIDSON,  MARGO#PA#5#DEM#2018#0.327461425
KIRKLAND,  THADDEUS#PA#5#DEM#2018#0.327461425
ADDIS,  PAUL DAVID#PA#5#REP#2018#0.672538575
MCCAULEY,  GREGORY MICHAEL#PA#6#REP#2018#0.572960945
HOULAHAN,  CHRISSY#PA#6#DEM#2018#0.427039055
MASTERS,  PAUL MICHAEL DREXEL UNI JR#PA#6#REP#2018#0.572960945
MORO,  ELIZABETH RHEIN#PA#6#DEM#2018#0.427039055
SILIFIES,  TIM#PA#7#LIB#2018#0
EDWARDS,  GREG#PA#7#DEM#2018#0.402612755
NOTHSTEIN,  MARTY MR.#PA#7#REP#2018#0.597387245
RUGGLES,  ROGER WILLIAM DR.#PA#7#DEM#2018#0.402612755
CRAIG,  CHRISTINE E#PA#7#DEM#2018#0.402612755
MORGANELLI,  JOHN#PA#7#DEM#2018#0.402612755
LEACH,  DAYLIN B#PA#7#DEM#2018#0.402612755
PERRY,  PAUL-DAVID II#PA#7#DEM#2018#0.402612755
POZOS,  CLARE PUTNAM#PA#7#REP#2018#0.597387245
BROWNING,  DEAN#PA#7#REP#2018#0.597387245
VITALI,  GREG#PA#7#DEM#2018#0.402612755
SALAS,  SANDRA TERESA#PA#7#LIB#2018#0
WEIDMAN,  DAVID WILLIAM#PA#7#DEM#2018#0.402612755
WRIGHT,  THERESA#PA#7#DEM#2018#0.402612755
CLARK,  DAVID#PA#7#DEM#2018#0.402612755
MCGINTY,  JOHN#PA#7#DEM#2018#0.402612755
