Bonner, Jo#AL#1#REP#2008#210660#1
INGHAM, ROBERT FRANCIS MR JR#GA#12#DEM#2018#0#0
CALLAHAN, DAVID ALAN#GA#13#REP#2018#0#0
AKINKUGBE, FEMI#GA#13#REP#2018#0#0
SCOTT, DAVID ALBERT#GA#13#DEM#2018#0#0
COWEN, MARTIN LINDSEY MR. III#GA#13#LIB#2018#0#0
NEWLAND, K. ROSS#GA#13#REP#2018#0#0
GRAVES, JOHN THOMAS MR. JR.#GA#14#REP#2018#0#0
FOSTER, STEVEN#GA#14#DEM#2018#0#0
GRAVES, TOM#GA#14#REP#2018#0#0
BORDALLO, MADELEINE Z. MS.#GU#0#DEM#2018#0#0
SAN NICOLAS, MICHAEL F.Q. MR.#GU#0#DEM#2018#0#0
BROOKS, DORIS FLORES#GU#0#REP#2018#0#0
LIN, ERIC DR.#GU#0#REP#2018#0#0
CHIN, DOUG#HI#1#DEM#2018#0#0
KIM, DONNA MERCADO#HI#1#DEM#2018#0#0
MARTIN, ERNEST YORIHIKO#HI#1#DEM#2018#0#0
TIPPENS, MICHELLE ROSE#HI#1#LIB#2018#0#0
CIPOLLA, JOHN E#HI#1#N#2018#0#0
ING, MARK KANIELA#HI#1#DEM#2018#0#0
FUKUMOTO, BETH#HI#1#DEM#2018#0#0
CASE, ED#HI#1#DEM#2018#0#0
TIPON, EMMANUEL S. (AL)#HI#1#REP#2018#0#0
VINOLE, RENE RAYMOND#HI#1#REP#2018#0#0
BURD, ZACHARY B.#HI#1#GRE#2018#0#0
GRIFFIN, CALVIN#HI#1#NNE#2018#0#0
PULETASI , SAM#HI#1#DEM#2018#0#0
CAVASSO, CAMPBELL#HI#1#REP#2018#0#0
GABBARD, TULSI#HI#2#DEM#2018#0#0
EVANS, BRIAN#HI#2#REP#2018#0#0
ALU CAMPAGNA, SHERYL FRANCYS#HI#2#DEM#2018#0#0
REISS, JOHN EMANUEL#HI#2#DEM#2018#0#0
AUSTIN, ANTHONY TONY#HI#2#DEM#2018#0#0
BLUM, RODNEY#IA#1#REP#2018#0#0
FINKENAUER, ABBY#IA#1#DEM#2018#0#0
RAMSEY, GEORGE#IA#1#DEM#2018#0#0
HECKROTH, THOMAS#IA#1#DEM#2018#0#0
ROWE, COURTNEY L MRS.#IA#1#DEM#2018#0#0
CALIGIURI, GINNY#IA#2#REP#2018#0#0
LOEBSACK, DAVID WAYNE#IA#2#DEM#2018#0#0
PETERS, CHRISTOPHER#IA#2#REP#2018#0#0
STRAUSS, MARK DAVID#IA#2#LIB#2018#0#0
AXNE, CINDY#IA#3#DEM#2018#0#0
MAURO, EDDIE J.#IA#3#DEM#2018#0#0
SHERZAN, MICHAEL THOMAS#IA#3#DEM#2018#0#0
SHERZAN, MICHAEL THOMAS#IA#3#DEM#2018#0#0
HOLDER, BRYAN JACK#IA#3#LIB#2018#0#0
YOUNG, DAVID#IA#3#REP#2018#0#0
RYON, ANNA#IA#3#DEM#2018#0#0
RYAN, HEATHER A#IA#3#DEM#2018#0#0
D'ALESSANDRO, PETE#IA#3#DEM#2018#0#0
FRERICK, AUSTIN RONALD#IA#3#DEM#2018#0#0
GRANDANETTE, JOE#IA#3#NNE#2018#0#0
GREENFIELD, THERESA#IA#3#DEM#2018#0#0
KNUPP, PAUL REV. DR. JR.#IA#3#GRE#2018#0#0
SCHOLTEN, JAMES D.#IA#4#DEM#2018#0#0
KING, STEVE MR.#IA#4#REP#2018#0#0
HANSON, CYNDI#IA#4#REP#2018#0#0
PETERSON, EDWARD#IA#4#NPA#2018#0#0
PASCHEN, JOHN JOSEPH#IA#4#DEM#2018#0#0
JACOBSEN, LEANN#IA#4#DEM#2018#0#0
DAHL, PAUL ELLIOTT#IA#4#DEM#2018#0#0
WEAVER, KIMBERLY#IA#4#DEM#2018#0#0
MEYERS, RYAN#IA#4#DEM#2018#0#0
ALDRICH, CHARLES#IA#4#LIB#2018#0#0
DEAM, DIRK J#IA#4#DEM#2018#0#0
MALEK, LUCAS TODD#ID#1#REP#2018#0#0
MCNEIL, CRISTINA#ID#1#DEM#2018#0#0
PERRY, CHRISTY#ID#1#REP#2018#0#0
FLEMING, NATALIE M#ID#1#UNA#2018#0#0
SMITH, MICHAEL WILLIAM#ID#1#DEM#2018#0#0
MILLER, DONALD#ID#1#DEM#2018#0#0
LIFE, PRO#ID#1#CON#2018#0#0
LEROY, DAVID H#ID#1#REP#2018#0#0
FULCHER, RUSS#ID#1#REP#2018#0#0
GALLEGOS, ALEXANDER#ID#1#REP#2018#0#0
COUNSIL, GORDON JOE#ID#1#UNK#2018#0#0
HOWARD, WILLIAM#ID#1#LIB#2018#0#0
VANDERMAAS, JAMES#ID#1#DEM#2018#0#0
MCNEIL, ANA#ID#1#DEM#2018#0#0
SNYDER, MICHAEL#ID#1#REP#2018#0#0
HENDERSON, NICHOLAS#ID#1#REP#2018#0#0
RICKARDS, PETER DR DPM#ID#2#DEM#2018#0#0
WARDELL, JAMES D.#ID#2#IND#2018#0#0
SIMPSON, MICHAEL#ID#2#REP#2018#0#0
SWISHER, CARLTON AARON#ID#2#DEM#2018#0#0
TILLMAN, JIMMY LEE#IL#1#REP#2018#0#0
RUSH, BOBBY LEE#IL#1#DEM#2018#0#0
RUDBECK, THOMAS MR.#IL#1#IND#2018#0#0
DRUMMER, DEMOND#IL#1#DEM#2018#0#0
BROOKINS, HOWARD#IL#1#DEM#2018#0#0
KELLY, ROBIN#IL#2#DEM#2018#0#0
LEWIS, MARCUS#IL#2#DEM#2018#0#0
MORROW, JOHN F.#IL#2#REP#2018#0#0
HARMON, PATRICK#IL#2#REP#2018#0#0
MERKLE, DAVID#IL#2#REP#2018#0#0
LIPINSKI, DANIEL WILLIAM WILLIAM#IL#3#DEM#2018#0#0
STEPP, THOMAS ZANE#IL#3#REP#2018#0#0
HANSON, JUSTIN MR.#IL#3#IND#2018#0#0
JONES, ARTHUR J.#IL#3#REP#2018#0#0
NEWMAN, MARIE#IL#3#DEM#2018#0#0
TOMKOWIAK, MATEUSZ#IL#3#IND#2018#0#0
LORCH, MARK WAYNE#IL#4#REP#2018#0#0
FLORES, SOL#IL#4#DEM#2018#0#0
LOPEZ, RAYMOND ANTHONY MR.#IL#4#DEM#2018#0#0
GONZALEZ, RICHARD#IL#4#DEM#2018#0#0
MELICHAR, ANN#IL#4#REP#2018#0#0
SANCHEZ, RUBEN D., JR.#IL#4#REP#2018#0#0
MORENO, PROC 'JOE'#IL#4#DEM#2018#0#0
REYES, JAY#IL#4#REP#2018#0#0
LYONS, MARK WAYNE#IL#4#REP#2018#0#0
RAMIREZ-ROSA, CARLOS MR.#IL#4#DEM#2018#0#0
GARCIA, JESUS#IL#4#DEM#2018#0#0
ROWLAND VAZQUEZ, NEIL#IL#4#DEM#2018#0#0
SCHWARTZBERG , STEVE J#IL#5#DEM#2018#0#0
QUIGLEY, MIKE#IL#5#DEM#2018#0#0
HANSON, TOM#IL#5#REP#2018#0#0
MUSTAFA, SAMEENA#IL#5#DEM#2018#0#0
WOLF, BENJAMIN#IL#5#DEM#2018#0#0
CASTEN, SEAN#IL#6#DEM#2018#0#0
CHENEY, CAROLE#IL#6#DEM#2018#0#0
PETZEL, GEOFFREY AISIN#IL#6#DEM#2018#0#0
ZORDANI, JENNIFER MS.#IL#6#DEM#2018#0#0
MAZESKI, KELLY#IL#6#DEM#2018#0#0
HAAF, GRACE#IL#6#DEM#2018#0#0
PRICE, SUZYN#IL#6#DEM#2018#0#0
HUFFMAN, RYAN#IL#6#DEM#2018#0#0
ROSKAM, PETER#IL#6#REP#2018#0#0
HOWLAND, AMANDA#IL#6#DEM#2018#0#0
SONGER, AUSTIN#IL#6#DEM#2018#0#0
WILKINS, BECKY ANDERSON#IL#6#DEM#2018#0#0
CLARK, ANTHONY#IL#7#DEM#2018#0#0
DAVIS, DANNY K#IL#7#DEM#2018#0#0
KENNEDY, ABIGAIL#IL#7#DEM#2018#0#0
CAMERON, CRAIG#IL#7#REP#2018#0#0
SALIM, AHMED#IL#7#DEM#2018#0#0
LEEF, JEFFREY A.#IL#7#REP#2018#0#0
JHINGAN, VANDANA#IL#8#REP#2018#0#0
KRISHNAMOORTHI, S. RAJA#IL#8#DEM#2018#0#0
STRAW, ANDREW U. D.#IL#8#DIS#2018#0#0
DIGANVKER, JITENDRA JD#IL#8#REP#2018#0#0
SANGARI, SARGIS#IL#9#REP#2018#0#0
RICE, MAXWELL#IL#9#REP#2018#0#0
LASONDE, JOAN MCCARTHY#IL#9#REP#2018#0#0
SCHAKOWSKY, JANICE D#IL#9#DEM#2018#0#0
THOMAS, DARRYL VINCENT OBSTERGA JR.#IL#9#REP#2018#0#0
ELLESON, JOHN D#IL#9#REP#2018#0#0
THOMAS, VINCENT D., JR.#IL#9#REP#2018#0#0
ELLESON, JOHN D.#IL#9#REP#2018#0#0
BENNETT, DOUGLAS R 1963#IL#10#REP#2018#0#0
SCHNEIDER, BRADLEY SCOTT#IL#10#DEM#2018#0#0
RUTAGWIBIRA, ALOYS#IL#10#REP#2018#0#0
WYNES, JEREMY#IL#10#REP#2018#0#0
SHAH, SAPAN M.D. J.D.#IL#10#REP#2018#0#0
FOSTER, G. WILLIAM (BILL)#IL#11#DEM#2018#0#0
VLAKANCIC, CONNOR#IL#11#REP#2018#0#0
STELLA, DOMINICK J. M.D.#IL#11#REP#2018#0#0
COLOMBO, NATHAN CHARLES MR#IL#12#DEM#2018#0#0
KING, ADAM JOSHUA#IL#12#DEM#2018#0#0
MCMAHAN, PAT#IL#12#DEM#2018#0#0
PRUITT, CHARLES DEAN#IL#12#DEM#2018#0#0
BOST, MICHAEL#IL#12#REP#2018#0#0
KELLY, BRENDAN#IL#12#DEM#2018#0#0
NELSON, PRESTON#IL#12#REP#2018#0#0
AUXIER, RANDY#IL#12#GRE#2018#0#0
KOEN, CHARLES#IL#12#DEM#2018#0#0
BEQUETTE, DAVID ALLAN#IL#12#DEM#2018#0#0
DAVIS, RODNEY L#IL#13#REP#2018#0#0
LONDRIGAN, BETSY DIRKSEN#IL#13#DEM#2018#0#0
WEBB, BENJAMIN ADAM#IL#13#DEM#2018#0#0
SIDES, ANGLE#IL#13#DEM#2018#0#0
EBEL, JONATHAN HANS#IL#13#DEM#2018#0#0
JONES, ERIK C#IL#13#DEM#2018#0#0
GILL, DAVID MICHAEL DR.#IL#13#DEM#2018#0#0
SWANSON, VICTOR#IL#14#DEM#2018#0#0
BROLLEY, MATT#IL#14#DEM#2018#0#0
UNDERWOOD, LAUREN A#IL#14#DEM#2018#0#0
WEBER, GEORGE#IL#14#DEM#2018#0#0
HULTGREN, RANDY#IL#14#REP#2018#0#0
HOSTA, JOHN#IL#14#DEM#2018#0#0
ROLDAN-JOHNSON, DANIEL#IL#14#DEM#2018#0#0
WALZ, JIM#IL#14#DEM#2018#0#0
GAITHER, KEVIN#IL#15#DEM#2018#0#0
MARCH, ANTHONY JAMES#IL#15#DEM#2018#0#0
SHIMKUS, JOHN M#IL#15#REP#2018#0#0
SPOERER, CARL#IL#15#DEM#2018#0#0
DADY, SARA#IL#16#DEM#2018#0#0
MARSHALL, ZANE EDWARD#IL#16#REP#2018#0#0
MOHAMMAD, NEILL DR.#IL#16#DEM#2018#0#0
VERCOLIO-OSMUND, BETH#IL#16#DEM#2018#0#0
KINZINGER, ADAM#IL#16#REP#2018#0#0
HASKELL, JASON REX#IL#16#REP#2018#0#0
BRIEL, AMY#IL#16#DEM#2018#0#0
MINELLI, CHRISTOPHER RYAN#IL#16#DEM#2018#0#0
MARTER, JAMES THOMAS#IL#16#REP#2018#0#0
ARROYAVE, NATHAN#IL#16#DEM#2018#0#0
OWENS, KYLE LEE MASTER#IL#16#IND#2018#0#0
DEBATES, JAYE#IL#16#REP#2018#0#0
SCHUH, JON RODNEY MR. JR.#IL#17#REP#2018#0#0
FAWELL, WILLIAM W#IL#17#REP#2018#0#0
BUSTOS, CHERI#IL#17#DEM#2018#0#0
KLEINE, MARK A MR.#IL#17#REP#2018#0#0
MILLER, DARREL#IL#18#DEM#2018#0#0
LAHOOD, DARIN MCKAY#IL#18#REP#2018#0#0
RODRIGUEZ, JUNIUS#IL#18#DEM#2018#0#0
RIENTS, DONALD#IL#18#REP#2018#0#0
DETERS, BRIAN#IL#18#DEM#2018#0#0
VISCLOSKY, PETER J.#IN#1#DEM#2018#0#0
CHUBB, LARRY#IN#1#DEM#2018#0#0
MEYER, JOHN#IN#1#REP#2018#0#0
IVANOVICH, ROSEANN P.#IN#1#REP#2018#0#0
PAPPAS, NICHOLAS#IN#1#REP#2018#0#0
LEYVA, MARK J#IN#1#REP#2018#0#0
BELKO, JEREMY D.#IN#1#REP#2018#0#0
DOPP, DAVID#IN#1#REP#2018#0#0
DAGGETT , ANTONIO (TONY) SR.#IN#1#DEM#2018#0#0
LEECH, ROLAND E#IN#2#DEM#2018#0#0
PETROFF, JOHN HENRY#IN#2#DEM#2018#0#0
CARPENTER, DOUGLAS M.#IN#2#DEM#2018#0#0
BUSH, AARON MICHAEL#IN#2#DEM#2018#0#0
SUMME, MARK JOHN#IN#2#REP#2018#0#0
HACKETT, MARY PATRICIA#IN#2#DEM#2018#0#0
HALL, MEL#IN#2#DEM#2018#0#0
WALORSKI SWIHART, JACKIE#IN#2#REP#2018#0#0
JOSHI, YATISH J MR.#IN#2#DEM#2018#0#0
TRITCH, COURTNEY#IN#3#DEM#2018#0#0
BENDER, TYLER#IN#3#OTH#2018#0#0
SCHRADER, THOMAS ALLEN#IN#3#DEM#2018#0#0
ROBERSON, JOHN FORREST#IN#3#DEM#2018#0#0
BANKS, JAMES E#IN#3#REP#2018#0#0
GRANT, KEVIN J#IN#4#REP#2018#0#0
RADICE, TIMOTHY MICHAEL#IN#4#REP#2018#0#0
BALLOCK, THOMAS#IN#4#W#2018#0#0
MACKEY, JOSEPH WILLIAM MR#IN#4#DEM#2018#0#0
MORALES, CESAR DIEGO#IN#4#REP#2018#0#0
ELLIS, ROLAND#IN#4#DEM#2018#0#0
ZIOL, VERONIKKA M.#IN#4#DEM#2018#0#0
NEASE, JAMES#IN#4#REP#2018#0#0
BRAUN, STEVEN J#IN#4#REP#2018#0#0
BAIRD, JAMES R PHD#IN#4#REP#2018#0#0
GRIESEY, DARIN PATRICK#IN#4#DEM#2018#0#0
MAQCKEY, JOSEPH WILLIAM MR#IN#4#DEM#2018#0#0
SHIPLEY, SHERYL#IN#4#DEM#2018#0#0
DAY, ROGER D.#IN#4#DEM#2018#0#0
THOMAS, JARED#IN#4#REP#2018#0#0
BECK, TOBI#IN#4#DEM#2018#0#0
BROOKS, SUSAN MRS.#IN#5#REP#2018#0#0
EDOM, JEREMY LEE#IN#5#IND#2018#0#0
DUGDALE, SEAN#IN#5#DEM#2018#0#0
SCHALER, AARON JOSEPH#IN#5#DEM#2018#0#0
CHRISTIE, JENNIFER#IN#5#DEM#2018#0#0
DOUGLAS, DION A#IN#5#DEM#2018#0#0
KINDIG, SUSAN#IN#5#DEM#2018#0#0
HARTLEY, MICHAEL#IN#5#DEM#2018#0#0
MOORE, KYLE BRENDEN#IN#5#DEM#2018#0#0
FARAGGI, ESHEL#IN#5#DEM#2018#0#0
THORNTON, DIERDRE#IN#5#DEM#2018#0#0
PRUETT, JAMES#IN#6#DEM#2018#0#0
CRIDER, MICHAEL R MR.#IN#6#REP#2018#0#0
WILLIAMSON, JOSHUA ALEXANDER#IN#6#DEM#2018#0#0
CARSON, ANDRE D.#IN#6#DEM#2018#0#0
LAMB, JONATHAN M.#IN#6#REP#2018#0#0
HOLLAND, GEORGE THOMAS#IN#6#DEM#2018#0#0
CAMPBELL, MIKE#IN#6#REP#2018#0#0
SIEKAM, LANE#IN#6#DEM#2018#0#0
SMITH, JEFF#IN#6#REP#2018#0#0
PENCE, GREGORY J.#IN#6#REP#2018#0#0
SIEKMAN, LANE ARTHUR#IN#6#DEM#2018#0#0
KERELIS, ARTURAS#IN#6#DEM#2018#0#0
LAKE, JEANNINE LEE#IN#6#DEM#2018#0#0
MACKENZIE, STEPHEN#IN#6#REP#2018#0#0
LAVE, KENNETH J.#IN#6#DEM#2018#0#0
LEE LAKE, JEANNINE L#IN#6#DEM#2018#0#0
FERKINHOFF, THOMAS#IN#6#LIB#2018#0#0
SPICER, SUE#IN#7#DEM#2018#0#0
COUCH, JOHN L.#IN#7#REP#2018#0#0
DAVIS, J. JASON#IN#7#REP#2018#0#0
EASON, DONALD JR.#IN#7#REP#2018#0#0
PULLINS, PIERRE QUINCY#IN#7#DEM#2018#0#0
HARMON, WAYNE E#IN#7#REP#2018#0#0
CARSON, ANDRE#IN#7#DEM#2018#0#0
MINIEAR, J D#IN#7#REP#2018#0#0
GODFREY, CURTIS D.#IN#7#DEM#2018#0#0
KERN, BOB#IN#7#DEM#2018#0#0
VAN PELT, TONY#IN#7#REP#2018#0#0
MILLER, GLEN SCOTT#IN#8#DEM#2018#0#0
BUCSHON, LARRY D.#IN#8#REP#2018#0#0
COVINGTON, RACHEL#IN#8#REP#2018#0#0
TANOOS, WILLIAM#IN#8#DEM#2018#0#0
MOSS, RICHARD MARC#IN#8#REP#2018#0#0
CHATLOS, ROBERT#IN#9#DEM#2018#0#0
LEINEWEBER, JASON#IN#9#DEM#2018#0#0
ALSPACH, JAMES DEAN#IN#9#REP#2018#0#0
CURTIS, TOD#IN#9#DEM#2018#0#0
HOOD, BRANDON WESLEY MR.#IN#9#DEM#2018#0#0
HOLLINGSWORTH, TREY#IN#9#REP#2018#0#0
CANON, DANIEL J#IN#9#DEM#2018#0#0
WATSON, LIZ#IN#9#DEM#2018#0#0
LAPOLICE, ALAN#KS#1#DEM#2018#0#0
MARSHALL, ROGER W#KS#1#REP#2018#0#0
HUELSKAMP, TIMOTHY A REP.#KS#1#REP#2018#0#0
REINECKER, NICK#KS#1#REP#2018#0#0
MAYS, MARION DOUGLAS#KS#2#REP#2018#0#0
STANDLEY, KELLY DON#KS#2#DEM#2018#0#0
TANNAHILL, TYLER NATHAN#KS#2#REP#2018#0#0
FITZGERALD, STEPHEN EDWARD#KS#2#REP#2018#0#0
WATKINS, STEVE#KS#2#REP#2018#0#0
PYLE, DENNIS#KS#2#REP#2018#0#0
BEVENS, MATTHEW RYAN#KS#2#REP#2018#0#0
STANDLEY, KELLY D 1969#KS#2#LIB#2018#0#0
FIELDS, VERNON JAMES#KS#2#REP#2018#0#0
TYSON, CARYN#KS#2#REP#2018#0#0
DAVIS, PAUL T.#KS#2#DEM#2018#0#0
JONES, KEVIN#KS#2#REP#2018#0#0
SOAVE, ANTONIO#KS#2#REP#2018#0#0
MCCONNELL, JOSEPH#KS#3#DEM#2018#0#0
HAULMARK, CHRIS#KS#3#DEM#2018#0#0
CLEMMONS, CHRISTOPHER KELLY#KS#3#LIB#2018#0#0
MYERS, JOE#KS#3#REP#2018#0#0
RAMSEY, ANDREA#KS#3#DEM#2018#0#0
NIERMANN, TOM#KS#3#DEM#2018#0#0
YODER, KEVIN#KS#3#REP#2018#0#0
WELDER, BRENT#KS#3#DEM#2018#0#0
DAVIDS, SHARICE#KS#3#DEM#2018#0#0
SIDIE, JAY#KS#3#DEM#2018#0#0
MCCAMON, MIKE#KS#3#DEM#2018#0#0
WILLIAMS, SYLVIA#KS#3#DEM#2018#0#0
KEEGAN, TREVOR#KS#3#REP#2018#0#0
COBB, ALAN EARL#KS#4#REP#2018#0#0
BRUCE, GEORGE C MR.#KS#4#REP#2018#0#0
THOMPSON, JAMES A MR.#KS#4#DEM#2018#0#0
ROCKHOLD, CHRIS#KS#4#LIB#2018#0#0
WALKER, VERNON CHARLES S#KS#4#DEM#2018#0#0
LOMBARD, LAURA#KS#4#DEM#2018#0#0
ESTES, RON#KS#4#REP#2018#0#0
ESTES, RON M.#KS#4#REP#2018#0#0
KIDWELL, ERIC JEFFREY MR.#KS#4#REP#2018#0#0
ASHBY, JOSEPH#KS#4#REP#2018#0#0
MCKINNEY, DENNIS#KS#4#DEM#2018#0#0
GASKINS, SAMUEL LEWIS MR.#KY#1#DEM#2018#0#0
PENNINGTON, ALONZO#KY#1#DEM#2018#0#0
GREENE, MICHAEL#KY#1#REP#2018#0#0
COMER, JAMES#KY#1#REP#2018#0#0
WALKER, PAUL#KY#1#DEM#2018#0#0
PEDIGO, BRIAN#KY#2#DEM#2018#0#0
LINDERMAN, HANK#KY#2#DEM#2018#0#0
SESSIONS, RANE EIR OLIVIA#KY#2#DEM#2018#0#0
GUTHRIE, S. BRETT HON.#KY#2#REP#2018#0#0
SHORT, GRANT#KY#2#DEM#2018#0#0
CRAVEN , MIKE#KY#3#REP#2018#0#0
PALAZZO, RHONDA R.#KY#3#REP#2018#0#0
YARMUTH, JOHN A#KY#3#DEM#2018#0#0
GLISSON, VICKIE YATES BROWN#KY#3#REP#2018#0#0
NEACE, JOSHUA MATTHIAS `#KY#4#OTH#2018#0#0
LORD, CHRISTINA#KY#4#DEM#2018#0#0
MASSIE, THOMAS H.#KY#4#REP#2018#0#0
PIATT, PATTI#KY#4#DEM#2018#0#0
GOODWIN, DAVID#KY#4#IND#2018#0#0
O'CULL, SAYRE CHRISTIAN#KY#4#DEM#2018#0#0
HALL, SETH BLANE 1962#KY#4#DEM#2018#0#0
SYKES, SCOTT CARLTON#KY#5#DEM#2018#0#0
STEPP, KENNETH STEPHENSON#KY#5#DEM#2018#0#0
ROGERS, HAROLD DALLAS#KY#5#REP#2018#0#0
SERRANO, GERARDO#KY#5#REP#2018#0#0
KEMPH , DANIEL#KY#6#DEM#2018#0#0
EDDY, CHUCK#KY#6#REP#2018#0#0
YOUNG, GEOFFREY M#KY#6#DEM#2018#0#0
THOMAS, REGINALD LEONARD 'REGGIE'#KY#6#DEM#2018#0#0
BARR, GARLAND ANDY#KY#6#REP#2018#0#0
GRAY, JAMES P.#KY#6#DEM#2018#0#0
MCGRATH, AMY#KY#6#DEM#2018#0#0
GREEN, THEODORE DAVID#KY#6#DEM#2018#0#0
WALLIN, RIKKA L#KY#6#IND#2018#0#0
SCALISE, STEVE MR#LA#1#REP#2018#0#0
SAVOIE, TAMMY MARIE DR#LA#1#DEM#2018#0#0
FRANCIS, JIM#LA#1#DEM#2018#0#0
KEARNEY, HOWARD#LA#1#LIB#2018#0#0
DUGAS, LEE ANN MS#LA#1#DEM#2018#0#0
SCHMIDT, JESSE#LA#2#NPA#2018#0#0
RODRIGUEZ, SHAWNDRA#LA#2#NPA#2018#0#0
RICHMOND, CEDRIC L.#LA#2#DEM#2018#0#0
BATISTE, BELDEN NOONIE MAN MR. SR.#LA#2#IND#2018#0#0
RADER, LARRY#LA#3#DEM#2018#0#0
METCALF, CHARLES DAVID JR#LA#3#DEM#2018#0#0
HIGGINS, CLAY CAPTAIN#LA#3#REP#2018#0#0
GUILLORY, JOSHUA S#LA#3#REP#2018#0#0
THOMAS, VERONE A MR#LA#3#DEM#2018#0#0
METHVIN, MIMI#LA#3#DEM#2018#0#0
CONNER, PHILLIP DR#LA#3#DEM#2018#0#0
LANGLINAIS, DAVID CHARLES#LA#3#IND#2018#0#0
ANDERSON, ROBERT JON#LA#3#DEM#2018#0#0
JOHNSON, JAMES MICHAEL#LA#4#REP#2018#0#0
TRUNDLE, RYAN#LA#4#DEM#2018#0#0
ABRAHAM, RALPH LEE DR. JR.#LA#5#REP#2018#0#0
FLEENOR, JESSEE CARLTON#LA#5#DEM#2018#0#0
SAIZAN, ANDIE#LA#6#DEM#2018#0#0
GRAVES, GARRET#LA#6#REP#2018#0#0
DEWITT, JUSTIN#LA#6#DEM#2018#0#0
DEWITT, JASON#LA#6#DEM#2018#0#0
NEAL, RICHARD E MR.#MA#1#DEM#2018#0#0
AMATUL-WADUD, TAHIRAH#MA#1#DEM#2018#0#0
MAYOCK, FREDERICK#MA#1#IND#2018#0#0
GORDY, PAUL VINCENT#MA#2#UNK#2018#0#0
LOVVORN, TRACY LYN#MA#2#REP#2018#0#0
MCGOVERN, JAMES P. MR.#MA#2#DEM#2018#0#0
WARREN, DOMINIC B MR#MA#2#DEM#2018#0#0
KURTZ, JEREMY#MA#2#REP#2018#0#0
POWERS, KEVIN WILLIAM#MA#2#REP#2018#0#0
SOSSA-PAQUETTE, JEFFREY ALLEN MR#MA#2#REP#2018#0#0
MARINO, LOUIS GREGORY MR#MA#3#REP#2018#0#0
BALLINGER, JEFFREY#MA#3#DEM#2018#0#0
GOLDER, LEONARD H#MA#3#DEM#2018#0#0
GREEN, RICK#MA#3#REP#2018#0#0
MATIAS, JUANA#MA#3#DEM#2018#0#0
GIFFORD, RUFUS#MA#3#DEM#2018#0#0
KERRIGAN, STEPHEN#MA#3#DEM#2018#0#0
ST.JOHN, KEITH R. MR.#MA#3#DEM#2018#0#0
MAZEN, NADEEM#MA#3#DEM#2018#0#0
TRAHAN, LORI#MA#3#DEM#2018#0#0
CHANDLER, ALEXANDRA ELEANOR#MA#3#DEM#2018#0#0
MALONE, BOPHA#MA#3#DEM#2018#0#0
GUNDERSON, SCOTT ALAN#MA#3#REP#2018#0#0
DAS, ABHIJIT BEEJ#MA#3#DEM#2018#0#0
L'ITALIEN, BARBARA#MA#3#DEM#2018#0#0
MULLEN, MICHAEL P MR.#MA#3#UN#2018#0#0
KOH, DANIEL ARRIGG#MA#3#DEM#2018#0#0
LITTLEFIELD, JAMES PATRICK#MA#3#DEM#2018#0#0
RYAN, TERENCE J#MA#3#DEM#2018#0#0
RUCINSKI, GARY#MA#4#DEM#2018#0#0
KENNEDY, JOSEPH P III#MA#4#DEM#2018#0#0
MARTIN, ROBERT#MA#4#LIB#2018#0#0
HUGO, JOHN#MA#5#REP#2018#0#0
KUCHNIR, LOUIS#MA#5#REP#2018#0#0
CLARK, KATHERINE#MA#5#DEM#2018#0#0
SCHNEIDER, JOSEPH#MA#6#REP#2018#0#0
RACIOPPI, SAMSON 1981#MA#6#LIB#2018#0#0
RACIOPPI, SAM P 1981#MA#6#LIB#2018#0#0
LABO, THOMAS MATHEW#MA#6#VET#2018#0#0
MOULTON, SETH#MA#6#DEM#2018#0#0
CHARBONNEAU, MARY JEAN#MA#6#IND#2018#0#0
HERNANDEZ, CARLOS ARMANDO#MA#6#REP#2018#0#0
MAZEN, NADEEM A#MA#7#DEM#2018#0#0
CAPUANO, MICHAEL E#MA#7#DEM#2018#0#0
KEMP, MICHAEL#MA#7#REP#2018#0#0
PRESSLEY, AYANNA#MA#7#DEM#2018#0#0
WU, BRIANNA#MA#8#DEM#2018#0#0
LYNCH, STEPHEN#MA#8#DEM#2018#0#0
VOEHL, CHRISTOPHER L.#MA#8#DEM#2018#0#0
KEATING, WILLIAM RICHARD#MA#9#DEM#2018#0#0
TEDESCHI, PETER D. MR.#MA#9#REP#2018#0#0
CIMBRELO, WILLIAM E#MA#9#DEM#2018#0#0
CHAPMAN, JOHN C#MA#9#REP#2018#0#0
YAMADA, TARO#MA#15#LIB#2018#0#0
THALER, MATTHEW KALUS#MD#0#REP#2018#0#0
WORTON, STEPHEN#MD#1#DEM#2018#0#0
BROWN, MICHAEL BERNARD#MD#1#DEM#2018#0#0
HARRIS, ANDREW P#MD#1#REP#2018#0#0
ELBORN, MARTIN#MD#1#REP#2018#0#0
TAYLOR, LAMONT#MD#1#REP#2018#0#0
MARTIN, JENICA#MD#1#LIB#2018#0#0
COLVIN, JESSE#MD#1#DEM#2018#0#0
GALBRAITH, ALLISON MS.#MD#1#DEM#2018#0#0
LANE, ERIK#MD#1#DEM#2018#0#0
PULLEN, MICHAEL MR.#MD#1#DEM#2018#0#0
RUPPERSBERGER, C.A. DUTCH#MD#2#DEM#2018#0#0
MIMOUN, GUILLAUME MR#MD#2#GRE#2018#0#0
OWENS, HUBERT JR#MD#2#REP#2018#0#0
SHELL, MARK GERALD#MD#2#REP#2018#0#0
